backend,kv_heads,prompt_length,decode_steps,batch_size,mode,prefill_ms_median,decode_ms_median,decode_step_ms,decode_tokens_per_second,cache_allocated_bytes,cuda_peak_allocated_bytes,cuda_peak_extra_bytes
naive,4,32,16,1,no_cache,1.7390000002706074,27.912999999898602,1.7445624999936626,573.2096155933838,0,,
naive,4,32,16,1,cache,1.7938999999387306,21.11860000013621,1.3199125000085132,757.6259789899332,98304,,
naive,4,128,16,1,no_cache,2.891500000259839,50.06999999977779,3.129374999986112,319.5526263245657,0,,
naive,4,128,16,1,cache,3.0989000001682143,22.418000000016036,1.4011250000010023,713.7121955566311,294912,,
naive,4,256,16,1,no_cache,4.903600000034203,78.26969999996436,4.8918562499977725,204.4213788989518,0,,
naive,4,256,16,1,cache,4.898400000001857,22.116600000117614,1.382287500007351,723.4385032018897,557056,,
sdpa,4,32,16,1,no_cache,1.5092000003278372,26.175299999977142,1.6359562499985714,611.2632902016012,0,,
sdpa,4,32,16,1,cache,1.6547000000173284,19.47680000012042,1.2173000000075263,821.4901831872318,98304,,
sdpa,4,128,16,1,no_cache,2.6500999997551844,44.06840000001466,2.7542750000009164,363.071951783924,0,,
sdpa,4,128,16,1,cache,2.9472000001078413,20.31200000010358,1.2695000000064738,787.7116975146912,294912,,
sdpa,4,256,16,1,no_cache,4.649299999982759,79.4437999998081,4.965237499988007,201.400235135261,0,,
sdpa,4,256,16,1,cache,4.758099999889964,22.501999999803957,1.4063749999877473,711.0479068589191,557056,,
naive,2,32,16,1,no_cache,1.648500000101194,26.542800000243005,1.6589250000151878,602.8000060224813,0,,
naive,2,32,16,1,cache,1.7492000001766428,21.08189999989918,1.3176187499936987,758.9448768885403,49152,,
naive,2,128,16,1,no_cache,2.8424999995877442,44.68059999999241,2.7925374999995256,358.09725026080037,0,,
naive,2,128,16,1,cache,2.73220000008223,21.830399999998917,1.3643999999999323,732.9228965113234,147456,,
naive,2,256,16,1,no_cache,4.570199999761826,74.24919999994017,4.640574999996261,215.49053727195567,0,,
naive,2,256,16,1,cache,4.643799999939802,22.685700000238285,1.4178562500148928,705.2901166740255,278528,,
sdpa,2,32,16,1,no_cache,1.508800000010524,25.931700000001,1.6207312500000626,617.0054412167109,0,,
sdpa,2,32,16,1,cache,1.714300000003277,19.208900000194262,1.2005562500121414,832.9472275787884,49152,,
sdpa,2,128,16,1,no_cache,2.6877000000240514,46.01439999987633,2.8758999999922708,347.71723634434005,0,,
sdpa,2,128,16,1,cache,2.6146000000153435,20.148099999914848,1.259256249994678,794.1195447743271,147456,,
sdpa,2,256,16,1,no_cache,4.289299999982177,73.95749999977852,4.6223437499861575,216.3404658087133,0,,
sdpa,2,256,16,1,cache,4.7894999997879495,21.778400000130205,1.3611500000081378,734.6728868927167,278528,,
naive,1,32,16,1,no_cache,1.534699999865552,25.71059999991121,1.6069124999944506,622.3114201945989,0,,
naive,1,32,16,1,cache,1.6037999998843588,19.538600000032602,1.2211625000020376,818.8918346234276,24576,,
naive,1,128,16,1,no_cache,2.5891000000228814,43.75149999987116,2.7344687499919473,365.7017473697386,0,,
naive,1,128,16,1,cache,2.7706999999281834,21.462700000029145,1.3414187500018215,745.479366527896,73728,,
naive,1,256,16,1,no_cache,4.4198000000506,70.90519999974276,4.431574999983923,225.6534076493409,0,,
naive,1,256,16,1,cache,4.826399999728892,22.058900000047288,1.3786812500029555,725.3308188516064,139264,,
sdpa,1,32,16,1,no_cache,1.5120000002752931,25.96240000002581,1.622650000001613,616.2758450676399,0,,
sdpa,1,32,16,1,cache,1.6224000000875094,19.294199999876582,1.2058874999922864,829.2647531435533,24576,,
sdpa,1,128,16,1,no_cache,2.368499999647611,41.401999999834516,2.5876249999896572,386.4547606411273,0,,
sdpa,1,128,16,1,cache,2.8360999999677006,19.587400000091293,1.2242125000057058,816.8516495259926,73728,,
sdpa,1,256,16,1,no_cache,4.51229999998759,71.24320000002626,4.4527000000016415,224.58283737948466,0,,
sdpa,1,256,16,1,cache,4.484699999920849,21.141200000329263,1.321325000020579,756.8160747616412,139264,,
